Python[0]: [-2.13233165]
Python[1]: [-1.77903349]
Python[2]: [-2.57274238]
Python[3]: [-1.13280398]
Python[4]: [-2.25352988]
Python[5]: [-2.62764853]
Python[6]: [-1.70395445]
Python[7]: [-1.31611485]
Python[8]: [-2.37336117]
Python[9]: [-2.25271414]
Python[10]: [-2.67942776]
Python[11]: [-2.76412473]
Python[12]: [-2.43734088]
Python[13]: [-1.74042366]
Python[14]: [-1.98431745]
Python[15]: [-2.95562772]
Python[16]: [-1.5918786]
Python[17]: [-2.84358428]
Python[18]: [-2.94383697]
Python[19]: [-2.28796836]
Python[20]: [-2.65883004]
Python[21]: [-3.21928486]
Python[22]: [-2.01328737]
Python[23]: [-1.94303091]
Python[24]: [-1.97968108]
Python[25]: [-2.27962848]
Python[26]: [-3.16276128]
Python[27]: [-2.60169528]
Python[28]: [-1.11828019]
Python[29]: [-1.29785041]
Python[30]: [-2.44449276]
Python[31]: [-1.50057295]
Python[32]: [-1.81682011]
Python[33]: [-1.80840163]
Python[34]: [-1.54364294]
Python[35]: [-2.2714628]
Python[36]: [-2.41366545]
Python[37]: [-1.48192278]
Python[38]: [-2.46559062]
Python[39]: [-1.7278887]
Python[40]: [-2.4583662]
Python[41]: [-3.95846817]
Python[42]: [-2.64029794]
Python[43]: [-3.99620198]
Python[44]: [-3.57441189]
Python[45]: [-2.89835911]
Python[46]: [-2.26179552]
Python[47]: [-2.56497408]
Python[48]: [-2.69961761]
Python[49]: [-2.72780347]
Python[50]: [-3.93553173]
Python[51]: [-3.06105923]
Python[52]: [-1.43708425]
Python[53]: [-3.17332335]
Python[54]: [-3.38290548]
Python[55]: [-2.43747032]
Python[56]: [-1.66352399]
Python[57]: [-2.87964347]
Python[58]: [-2.37206261]
Python[59]: [-2.63501468]
Python[60]: [-1.75752482]
Python[61]: [-0.90733514]
Python[62]: [-1.04709866]
Python[63]: [-2.00336598]
Python[64]: [-1.07564821]
Python[65]: [-1.84661566]
Python[66]: [-2.56266999]
Python[67]: [-2.38108169]
Python[68]: [-2.07864276]
Python[69]: [-2.11601626]
Python[70]: [-1.53650509]
Python[71]: [-2.14934503]
Python[72]: [-2.76236553]
Python[73]: [-2.45725501]
Python[74]: [-3.20029149]
Python[75]: [-3.31859003]
Python[76]: [-2.45033997]
Python[77]: [-2.62732494]
Python[78]: [-3.6413704]
Python[79]: [-2.3028787]
Python[80]: [-2.19311926]
Python[81]: [-3.59466977]
Python[82]: [-2.71505178]
Python[83]: [-2.25910682]
Python[84]: [-2.15584612]
Python[85]: [-1.56316286]
Python[86]: [-2.40125117]
Python[87]: [-2.39366076]
Python[88]: [-1.8288526]
Python[89]: [-1.18408831]
Python[90]: [-2.03816393]
Python[91]: [-1.77296183]
Python[92]: [-2.43456274]
Python[93]: [-1.50562364]
Python[94]: [-2.04979958]
Python[95]: [-2.61072045]
Python[96]: [-1.44946813]
