Python[0]: [-4.77619456]
Python[1]: [-2.15331455]
Python[2]: [-2.22841212]
Python[3]: [-2.01579624]
Python[4]: [-1.823574]
Python[5]: [-2.88022363]
Python[6]: [-4.14401603]
Python[7]: [-3.44596173]
Python[8]: [-1.76091444]
Python[9]: [-3.64450645]
Python[10]: [-1.85370396]
Python[11]: [-2.07613067]
Python[12]: [-3.52672611]
Python[13]: [-2.98961238]
Python[14]: [-2.5053705]
Python[15]: [-1.65549442]
Python[16]: [-2.14118622]
Python[17]: [-1.02691656]
Python[18]: [-1.29074731]
Python[19]: [-1.85562967]
Python[20]: [-1.8467718]
Python[21]: [-2.84674375]
Python[22]: [-3.95040511]
Python[23]: [-2.71571476]
Python[24]: [-3.79299153]
Python[25]: [-3.74481988]
Python[26]: [-2.9407449]
Python[27]: [-3.32905817]
Python[28]: [-3.14130506]
Python[29]: [-1.26017297]
Python[30]: [-3.15034579]
Python[31]: [-3.20082263]
Python[32]: [-2.86362512]
Python[33]: [-3.80993493]
Python[34]: [-1.49786253]
Python[35]: [-0.93186393]
Python[36]: [-2.49619839]
Python[37]: [-2.55652031]
Python[38]: [-4.30222717]
Python[39]: [-3.43604369]
Python[40]: [-1.6049788]
Python[41]: [-1.3439386]
Python[42]: [-2.34794971]
Python[43]: [-2.30178881]
Python[44]: [-2.12552153]
Python[45]: [-2.42791561]
Python[46]: [-2.52756186]
Python[47]: [-1.98617515]
Python[48]: [-1.52833296]
Python[49]: [-2.21832222]
Python[50]: [-2.15965168]
Python[51]: [-2.19223728]
Python[52]: [-1.62982248]
Python[53]: [-2.44375305]
Python[54]: [-4.19278545]
Python[55]: [-4.92574678]
Python[56]: [-5.23406118]
Python[57]: [-3.38757578]
Python[58]: [-3.2041558]
Python[59]: [-1.55826358]
Python[60]: [-2.4290657]
Python[61]: [-1.56408712]
Python[62]: [0.7321633]
Python[63]: [-2.10960821]
Python[64]: [-3.16717583]
Python[65]: [-2.57907638]
Python[66]: [-4.10812791]
Python[67]: [-2.35508363]
Python[68]: [-1.49184048]
Python[69]: [-2.71702893]
Python[70]: [-2.50392412]
Python[71]: [-2.42966525]
Python[72]: [-2.46670068]
Python[73]: [-1.54194391]
Python[74]: [-1.88643495]
Python[75]: [-2.55103554]
Python[76]: [-0.75963803]
Python[77]: [-1.45785234]
Python[78]: [-2.15342446]
Python[79]: [-1.99180494]
Python[80]: [-2.01465863]
Python[81]: [-2.65163656]
Python[82]: [-2.25952372]
Python[83]: [-1.38255252]
Python[84]: [-1.7342066]
Python[85]: [-1.20849808]
Python[86]: [-2.02069403]
Python[87]: [-2.8957934]
Python[88]: [-2.48623802]
Python[89]: [-3.48969567]
Python[90]: [-3.31352984]
Python[91]: [-3.67799006]
Python[92]: [-2.57222091]
Python[93]: [-1.98086535]
Python[94]: [-1.74373893]
Python[95]: [-0.59983554]
Python[96]: [-2.92162813]
Python[97]: [-3.50688395]
Python[98]: [-3.35920805]
Python[99]: [-3.19631889]
Python[100]: [-3.42402644]
Python[101]: [-2.95890085]
Python[102]: [-3.08279071]
Python[103]: [-2.51886806]
Python[104]: [-2.99093074]
Python[105]: [-2.50566223]
Python[106]: [-1.09307041]
Python[107]: [-2.51891553]
Python[108]: [-1.89961226]
Python[109]: [-2.03109607]
Python[110]: [-1.80470157]
Python[111]: [-3.06220541]
Python[112]: [-2.08277378]
Python[113]: [-1.88115636]
Python[114]: [-2.63456015]
Python[115]: [-2.09541864]
Python[116]: [-1.85218154]
Python[117]: [-2.30489661]
Python[118]: [-1.89764818]
Python[119]: [-2.8916405]
Python[120]: [-2.50907518]
Python[121]: [-2.26513341]
Python[122]: [-3.7131542]
Python[123]: [-2.92635879]
Python[124]: [-2.80499991]
Python[125]: [-2.94534553]
Python[126]: [-2.79117604]
Python[127]: [-2.67812137]
Python[128]: [-3.66153881]
Python[129]: [-2.84203177]
Python[130]: [-2.82017852]
Python[131]: [-2.0927752]
Python[132]: [-2.71606605]
Python[133]: [-1.83035333]
Python[134]: [-2.20584464]
Python[135]: [-1.68768601]
Python[136]: [-1.54782321]
Python[137]: [-3.00527246]
Python[138]: [-2.14646001]
Python[139]: [-2.36720275]
Python[140]: [-3.89518289]
Python[141]: [-1.68609365]
Python[142]: [-2.26289488]
Python[143]: [-2.24045064]
Python[144]: [-3.87327826]
Python[145]: [-3.30264518]
Python[146]: [-2.79132453]
Python[147]: [-3.33575871]
Python[148]: [-2.95539064]
Python[149]: [-4.14528993]
Python[150]: [-4.0326089]
Python[151]: [-2.90184002]
Python[152]: [-3.76570769]
Python[153]: [-2.41255166]
Python[154]: [-2.46262228]
Python[155]: [-3.24204604]
Python[156]: [-1.12848106]
Python[157]: [-1.60752761]
Python[158]: [-2.13680869]
Python[159]: [-1.22173519]
Python[160]: [-4.01592505]
Python[161]: [-3.56847461]
Python[162]: [-3.37967142]
Python[163]: [-2.37233243]
Python[164]: [-1.77987466]
Python[165]: [-1.70976801]
Python[166]: [-1.69223821]
Python[167]: [-1.28553907]
Python[168]: [-2.32703276]
Python[169]: [-2.06944064]
Python[170]: [-3.7149588]
Python[171]: [-2.82008788]
Python[172]: [-1.75557804]
Python[173]: [-2.97662956]
Python[174]: [-2.60742277]
Python[175]: [-3.15097805]
Python[176]: [-3.66999697]
Python[177]: [-4.23429875]
Python[178]: [-2.33462793]
Python[179]: [-3.15187399]
Python[180]: [-4.11347332]
Python[181]: [-2.90076587]
Python[182]: [-2.55245104]
Python[183]: [-3.55142036]
Python[184]: [-3.37707588]
Python[185]: [-2.76949507]
Python[186]: [-2.25256689]
Python[187]: [-3.36918104]
Python[188]: [-3.81000201]
Python[189]: [-2.17013221]
Python[190]: [-1.95668791]
Python[191]: [-3.16711769]
Python[192]: [-1.92218457]
Python[193]: [-2.9263163]
Python[194]: [-4.51451131]
Python[195]: [-4.12369318]
Python[196]: [-2.80084431]
Python[197]: [-2.38996206]
Python[198]: [-0.56947958]
Python[199]: [-1.90586784]
Python[200]: [-3.38550649]
Python[201]: [-2.25116403]
Python[202]: [-3.53832788]
Python[203]: [-4.88041105]
Python[204]: [-4.15469111]
Python[205]: [-2.61758021]
Python[206]: [-2.69212241]
Python[207]: [-2.42463959]
Python[208]: [-2.52955677]
Python[209]: [-2.69556232]
Python[210]: [-3.09532348]
Python[211]: [-2.155085]
Python[212]: [-2.31671996]
Python[213]: [-3.0794028]
Python[214]: [-1.77460624]
Python[215]: [-2.11585658]
Python[216]: [-3.32255388]
Python[217]: [-5.47319523]
Python[218]: [-5.21108748]
Python[219]: [-3.93864304]
Python[220]: [-4.42933124]
Python[221]: [-4.7841259]
Python[222]: [-3.33091287]
Python[223]: [-3.98425812]
Python[224]: [-4.46011346]
Python[225]: [-2.44992843]
Python[226]: [-3.27819136]
Python[227]: [-4.33289725]
Python[228]: [-4.16014386]
Python[229]: [-3.46635847]
Python[230]: [-2.00139388]
Python[231]: [-2.45590662]
Python[232]: [-2.80306531]
Python[233]: [-4.55066249]
Python[234]: [-3.43946416]
Python[235]: [-3.75434433]
Python[236]: [-4.32013371]
Python[237]: [-3.4113747]
Python[238]: [-2.8014246]
Python[239]: [-2.70386361]
Python[240]: [-2.00293662]
Python[241]: [-2.47499866]
Python[242]: [-3.18899476]
Python[243]: [-1.26540316]
Python[244]: [-1.68843289]
Python[245]: [-2.87773102]
Python[246]: [-2.21852911]
Python[247]: [-0.71322704]
Python[248]: [-0.41414435]
Python[249]: [-1.09898365]
Python[250]: [-4.45932407]
Python[251]: [-4.17394838]
Python[252]: [-1.93109229]
Python[253]: [-4.10544417]
Python[254]: [-3.5438456]
Python[255]: [-2.17066821]
Python[256]: [-3.31103426]
Python[257]: [-2.78310881]
Python[258]: [-2.27908807]
Python[259]: [-2.73956343]
Python[260]: [-3.65121625]
Python[261]: [-2.43541224]
Python[262]: [-1.21025298]
Python[263]: [-0.66144415]
Python[264]: [-3.55808369]
Python[265]: [-3.25486516]
Python[266]: [-3.15536503]
Python[267]: [-1.9107886]
Python[268]: [-2.73967187]
Python[269]: [-3.32880573]
Python[270]: [-2.22806062]
Python[271]: [-2.79507053]
Python[272]: [-2.20436931]
Python[273]: [-2.59784583]
Python[274]: [-1.85734753]
Python[275]: [-2.76505166]
Python[276]: [0.68973026]
Python[277]: [-2.75845082]
Python[278]: [-4.00610902]
Python[279]: [-2.07509386]
Python[280]: [-0.37238034]
Python[281]: [0.9574385]
Python[282]: [-0.74050272]
Python[283]: [-0.38115737]
Python[284]: [0.10945004]
Python[285]: [-0.73125797]
Python[286]: [-1.98953255]
Python[287]: [-1.95468238]
Python[288]: [-2.94192054]
Python[289]: [-2.35017293]
Python[290]: [-2.86145499]
Python[291]: [-1.97969043]
Python[292]: [-3.15212899]
Python[293]: [-3.22007871]
Python[294]: [-2.16419298]
Python[295]: [-1.5238276]
Python[296]: [-1.48780316]
Python[297]: [-3.60144703]
Python[298]: [-2.50562978]
Python[299]: [-2.261967]
Python[300]: [-0.90612116]
Python[301]: [-2.56871715]
Python[302]: [-1.46009047]
Python[303]: [-2.1605533]
Python[304]: [-4.43445899]
Python[305]: [-1.88853554]
Python[306]: [-1.87525192]
Python[307]: [-2.65800535]
Python[308]: [-3.24292981]
Python[309]: [-0.20984515]
Python[310]: [-3.3848723]
Python[311]: [-4.0543511]
Python[312]: [-2.70677441]
Python[313]: [-1.33386294]
Python[314]: [-0.86544129]
Python[315]: [-2.12110571]
Python[316]: [-0.92648755]
Python[317]: [0.99946257]
Python[318]: [-1.03354985]
Python[319]: [-3.30855929]
Python[320]: [-2.18938164]
Python[321]: [-2.40581757]
Python[322]: [-0.81814403]
Python[323]: [-1.06882019]
Python[324]: [-1.26188644]
Python[325]: [-1.39124989]
Python[326]: [-1.29477388]
Python[327]: [-1.15122491]
Python[328]: [-1.25728927]
Python[329]: [-0.8025968]
Python[330]: [-3.96460125]
Python[331]: [-2.12147395]
Python[332]: [-0.44416754]
Python[333]: [-0.42331794]
Python[334]: [-1.65942205]
Python[335]: [-0.31652622]
Python[336]: [-2.53442177]
Python[337]: [-3.88651416]
Python[338]: [-2.08460103]
Python[339]: [-2.60345936]
Python[340]: [-3.33024586]
Python[341]: [-3.61298672]
Python[342]: [-1.60938633]
Python[343]: [-1.8869848]
Python[344]: [-3.58923802]
Python[345]: [-4.26519216]
Python[346]: [-3.20138106]
Python[347]: [-2.50246906]
Python[348]: [-5.10976735]
Python[349]: [-3.48870481]
Python[350]: [-1.82362572]
Python[351]: [-3.86542407]
Python[352]: [-4.79041916]
Python[353]: [-1.21243378]
Python[354]: [-1.98951422]
Python[355]: [-1.32791924]
Python[356]: [-1.71917863]
Python[357]: [-1.92930174]
Python[358]: [-1.86249161]
Python[359]: [-2.58920695]
Python[360]: [-1.98707923]
Python[361]: [-1.6499819]
Python[362]: [-1.63233767]
Python[363]: [-2.13034284]
Python[364]: [-1.72656329]
Python[365]: [0.60971736]
Python[366]: [0.78071066]
Python[367]: [-1.95225119]
Python[368]: [-0.34407132]
Python[369]: [-1.0416711]
Python[370]: [-2.89356944]
Python[371]: [-1.22126171]
Python[372]: [-1.22794406]
Python[373]: [-2.28178466]
Python[374]: [-2.67342853]
Python[375]: [-2.60615619]
Python[376]: [-3.02540748]
Python[377]: [-2.60468265]
Python[378]: [-3.84862263]
Python[379]: [-1.72478469]
Python[380]: [-0.71388186]
Python[381]: [-4.50676918]
Python[382]: [-1.93034799]
Python[383]: [-1.46793975]
Python[384]: [-4.41632296]
Python[385]: [-4.89264882]
Python[386]: [-2.46179521]
Python[387]: [-2.76116051]
Python[388]: [-2.24008174]
Python[389]: [-2.1885276]
Python[390]: [-2.16322753]
Python[391]: [-3.16822141]
Python[392]: [-2.89399279]
Python[393]: [-2.18800088]
Python[394]: [-2.59012923]
Python[395]: [-2.25578264]
Python[396]: [-2.60764515]
Python[397]: [-1.9699837]
Python[398]: [-0.01253614]
Python[399]: [0.89954247]
Python[400]: [-1.56588492]
Python[401]: [-0.20067438]
Python[402]: [-0.93575082]
Python[403]: [-4.08858734]
Python[404]: [-3.38880536]
Python[405]: [-2.87120417]
Python[406]: [-2.810142]
Python[407]: [-1.74513591]
Python[408]: [-2.1708307]
Python[409]: [-3.13592963]
Python[410]: [-2.57427124]
Python[411]: [-2.50188477]
Python[412]: [-1.14247596]
Python[413]: [-0.56672123]
Python[414]: [-3.79073394]
Python[415]: [-3.73583439]
Python[416]: [-2.44140216]
Python[417]: [-3.39147737]
Python[418]: [-3.34920071]
Python[419]: [-1.48000945]
Python[420]: [-2.86064113]
Python[421]: [-3.11489428]
Python[422]: [-2.49409872]
Python[423]: [-3.00206013]
Python[424]: [-2.90864366]
Python[425]: [-2.14354253]
Python[426]: [-2.94567579]
Python[427]: [-2.67055956]
Python[428]: [-2.80505473]
Python[429]: [-2.76786613]
Python[430]: [-2.66925558]
Python[431]: [-1.31094986]
Python[432]: [-0.94445568]
Python[433]: [-2.68888012]
Python[434]: [-2.6185822]
Python[435]: [-3.05098748]
Python[436]: [-3.85614614]
Python[437]: [-3.86250347]
Python[438]: [-4.19881727]
Python[439]: [-2.79694371]
Python[440]: [-2.61425472]
Python[441]: [-4.14495275]
Python[442]: [-4.31601217]
Python[443]: [-3.63308727]
Python[444]: [-3.34451268]
Python[445]: [-3.08352826]
Python[446]: [-2.106338]
Python[447]: [-2.91156957]
Python[448]: [-2.38617207]
Python[449]: [-0.8366486]
Python[450]: [-2.41680877]
Python[451]: [-1.98273337]
Python[452]: [-1.60970208]
Python[453]: [-1.30537432]
Python[454]: [-3.538677]
Python[455]: [-3.15347382]
Python[456]: [-1.41554033]
Python[457]: [-1.70245797]
Python[458]: [-2.9257454]
Python[459]: [-2.55406339]
Python[460]: [-3.33577783]
Python[461]: [-2.94001384]
Python[462]: [-2.73808385]
Python[463]: [-2.31040153]
Python[464]: [-2.13150394]
Python[465]: [-0.73759924]
Python[466]: [-1.29740229]
Python[467]: [-3.55387779]
Python[468]: [-3.37725659]
Python[469]: [-3.1635375]
Python[470]: [-3.833599]
Python[471]: [-3.74945482]
Python[472]: [-2.07789078]
Python[473]: [-1.82471473]
Python[474]: [-3.11870202]
Python[475]: [-3.91324405]
Python[476]: [-3.04564766]
Python[477]: [-2.78691363]
Python[478]: [-4.31289107]
Python[479]: [-3.36644705]
Python[480]: [-0.69542376]
Python[481]: [-0.98737814]
Python[482]: [-2.15081129]
Python[483]: [-1.96088852]
Python[484]: [-1.37712752]
Python[485]: [-0.49842483]
Python[486]: [-0.06391005]
Python[487]: [-2.16611095]
Python[488]: [-2.27848687]
Python[489]: [-1.62574063]
Python[490]: [-0.68553728]
Python[491]: [-1.93490237]
Python[492]: [-2.26717648]
Python[493]: [-3.2664071]
Python[494]: [-2.81263427]
Count frame people: 8
