Python[0]: [-2.22849632]
Python[1]: [-2.64063516]
Python[2]: [-2.69530536]
Python[3]: [-2.35935977]
Python[4]: [-1.34800438]
Python[5]: [-2.41689305]
Python[6]: [-2.74683012]
Python[7]: [-3.75133867]
Python[8]: [-4.03710149]
Python[9]: [-4.30375989]
Python[10]: [-4.30381222]
Python[11]: [-3.78233907]
Python[12]: [-4.1657908]
Python[13]: [-4.02326396]
Python[14]: [-4.12369466]
Python[15]: [-3.54646394]
Python[16]: [-1.52036767]
Python[17]: [-2.22347654]
Python[18]: [-4.56868881]
Python[19]: [-3.90718667]
Python[20]: [-3.68125452]
Python[21]: [-2.55585095]
Python[22]: [-4.46036229]
Python[23]: [-4.09369486]
Python[24]: [-3.51033038]
Python[25]: [-3.22354281]
Python[26]: [-3.82629283]
Python[27]: [-4.91199564]
Python[28]: [-3.11160177]
Python[29]: [-3.03007408]
Python[30]: [-4.37157131]
Python[31]: [-4.95677565]
Python[32]: [-5.21371946]
Python[33]: [-2.42873029]
Python[34]: [-1.48490049]
Python[35]: [-1.25268599]
Python[36]: [-2.04763045]
Python[37]: [-1.34496357]
Python[38]: [-1.95835401]
Python[39]: [-1.54930654]
Python[40]: [-2.15252485]
Python[41]: [-2.70371969]
Python[42]: [-2.99679321]
Python[43]: [-2.45794127]
Python[44]: [-3.14345793]
Python[45]: [-2.72579953]
Python[46]: [-3.2307186]
Python[47]: [-3.5600978]
Python[48]: [-2.39618207]
Python[49]: [-0.08282642]
Python[50]: [-0.11279424]
Python[51]: [-2.22381488]
Python[52]: [-3.24208899]
Python[53]: [-2.17302175]
Python[54]: [-3.38121034]
Python[55]: [-5.27406751]
Python[56]: [-5.10794415]
Python[57]: [-4.91473329]
Python[58]: [-3.6272507]
Python[59]: [-3.55904297]
Python[60]: [-3.8541136]
Python[61]: [-2.70942262]
Python[62]: [-2.98415728]
Python[63]: [-3.2381163]
Python[64]: [-2.81754033]
Python[65]: [-2.96065247]
Python[66]: [-3.50954741]
Python[67]: [-2.58840127]
Python[68]: [-2.79209927]
Python[69]: [-2.72334976]
Python[70]: [-1.95177115]
Python[71]: [-2.33026835]
Python[72]: [-1.58510991]
Python[73]: [-1.43147492]
Python[74]: [-1.5886231]
Python[75]: [-1.84894336]
Python[76]: [-2.51812795]
Python[77]: [-2.72048961]
Python[78]: [-2.50578583]
Python[79]: [-3.45073023]
Python[80]: [-3.16784661]
Python[81]: [-0.96702056]
Python[82]: [-0.54168102]
Python[83]: [-0.00121136]
Python[84]: [-1.18232051]
Python[85]: [-3.26831767]
Python[86]: [-3.10178509]
Python[87]: [-3.83662236]
Python[88]: [-4.85324075]
Python[89]: [-5.71318345]
Python[90]: [-4.83460432]
Python[91]: [-3.15013862]
Python[92]: [-3.4423461]
Python[93]: [-3.92980598]
Python[94]: [-3.38687717]
Python[95]: [-3.97909747]
Python[96]: [-3.45894914]
Python[97]: [-2.52992598]
Python[98]: [-2.64800314]
Python[99]: [-4.01785939]
Python[100]: [-2.39821878]
Python[101]: [-2.63412721]
Python[102]: [-2.92891137]
Python[103]: [-3.21472637]
Python[104]: [-3.17080104]
Python[105]: [-2.63858581]
Python[106]: [-2.4060731]
Python[107]: [-1.4129453]
Python[108]: [-2.23904358]
Python[109]: [-2.87871742]
Python[110]: [-2.19833518]
Python[111]: [-2.34536877]
Python[112]: [-2.98806783]
Python[113]: [-3.0130493]
Python[114]: [-1.83760803]
Python[115]: [-1.57492898]
Python[116]: [-1.53436754]
Python[117]: [-1.22863362]
Python[118]: [-1.03524687]
Python[119]: [-1.4507441]
Python[120]: [-3.43374466]
Python[121]: [-3.27347166]
Python[122]: [-3.31998242]
Python[123]: [-1.0185749]
Python[124]: [-1.9839056]
Python[125]: [-3.80343803]
Python[126]: [-1.58521977]
Python[127]: [-2.29424957]
Python[128]: [-3.74766239]
Python[129]: [-2.18748372]
Python[130]: [-3.17162922]
Python[131]: [-4.00491235]
Python[132]: [-3.40589243]
Python[133]: [-2.0112481]
Python[134]: [-3.2881712]
Python[135]: [-3.0726903]
Python[136]: [-3.427137]
Python[137]: [-3.09907328]
Python[138]: [-2.59093318]
Python[139]: [-2.60137386]
Python[140]: [-1.51510064]
Python[141]: [-1.38070801]
Python[142]: [-2.535027]
Python[143]: [-3.16833091]
Python[144]: [-3.40254456]
Python[145]: [-4.73197409]
Python[146]: [-3.81136886]
Python[147]: [-3.02056179]
Python[148]: [-1.46634171]
Python[149]: [-3.25957375]
Python[150]: [-3.27442641]
Python[151]: [-1.83158136]
Python[152]: [-1.90071603]
Python[153]: [-2.27460984]
Python[154]: [-1.14970446]
Python[155]: [-1.4460217]
Python[156]: [0.4775837]
Python[157]: [-1.14359262]
Python[158]: [-3.41833151]
Python[159]: [-1.25382135]
Python[160]: [-1.62976062]
Python[161]: [-2.42541325]
Python[162]: [-2.11794873]
Python[163]: [-2.97520085]
Python[164]: [-3.59816472]
Python[165]: [-2.42894416]
Python[166]: [-2.91733938]
Python[167]: [-3.26518968]
Python[168]: [-2.85317681]
Python[169]: [-2.82592482]
Python[170]: [-2.73325475]
Python[171]: [-2.71866323]
Python[172]: [-3.09116835]
Python[173]: [-1.72097159]
Python[174]: [-2.03041144]
Python[175]: [-1.98567947]
Python[176]: [-1.51136345]
Python[177]: [-3.38332185]
Python[178]: [-4.12102742]
Python[179]: [-3.48535746]
Python[180]: [-3.46248918]
Python[181]: [-1.2654423]
Python[182]: [-2.5551425]
Python[183]: [-4.30139478]
Python[184]: [-1.22801019]
Python[185]: [-1.53012459]
Python[186]: [-1.27643759]
Python[187]: [-0.7448916]
Python[188]: [-1.57154101]
Python[189]: [0.07772468]
Python[190]: [0.03314622]
Python[191]: [-2.65524543]
Python[192]: [-1.25511118]
Python[193]: [-1.55294346]
Python[194]: [-2.18090956]
Python[195]: [-3.04779371]
Python[196]: [-3.3171027]
Python[197]: [-5.40746034]
Python[198]: [-3.88711332]
Python[199]: [-3.58745716]
Python[200]: [-4.12279908]
Python[201]: [-4.30268936]
Python[202]: [-4.07687868]
Python[203]: [-4.10261646]
Python[204]: [-3.44690814]
Python[205]: [-2.47661247]
Python[206]: [-1.77620813]
Python[207]: [-2.12044194]
Python[208]: [-0.90002536]
Python[209]: [-0.83527686]
Python[210]: [-3.13846078]
Python[211]: [-4.36355567]
Python[212]: [-2.6808266]
Python[213]: [-3.04916095]
Python[214]: [-1.4257658]
Python[215]: [-2.3971952]
Python[216]: [-3.96671161]
Python[217]: [-3.23568143]
Python[218]: [-2.49878742]
Python[219]: [-1.81523486]
Python[220]: [-2.3023235]
Python[221]: [-2.45615376]
Python[222]: [-1.5838267]
Python[223]: [-1.61590457]
Python[224]: [-2.35618015]
Python[225]: [-3.14375487]
Python[226]: [-2.12443187]
Python[227]: [-1.59853982]
Python[228]: [-2.8906736]
Python[229]: [-4.24558006]
Python[230]: [-5.62503649]
Python[231]: [-3.26854093]
Python[232]: [-3.47660296]
Python[233]: [-5.29751096]
Python[234]: [-4.82492797]
Python[235]: [-4.81257026]
Python[236]: [-4.64028674]
Python[237]: [-3.34913555]
Python[238]: [-1.68924962]
Python[239]: [-1.99412401]
Python[240]: [-2.46718218]
Python[241]: [-1.32633989]
Python[242]: [-0.76113351]
Python[243]: [-2.82480844]
Python[244]: [-4.63821599]
Python[245]: [-4.43444445]
Python[246]: [-4.10090932]
Python[247]: [-1.5118399]
Python[248]: [-2.42895635]
Python[249]: [-2.47386089]
Python[250]: [-2.54524891]
Python[251]: [-2.62298877]
Python[252]: [-2.67527144]
Python[253]: [-3.53358055]
Python[254]: [-3.37883875]
Python[255]: [-3.9369427]
Python[256]: [-3.97545806]
Python[257]: [-4.09668406]
Python[258]: [-2.93571429]
Python[259]: [-1.54579487]
Python[260]: [-0.9088256]
Python[261]: [-1.53683409]
Python[262]: [-3.11736806]
Python[263]: [-4.44888739]
Python[264]: [-2.21956593]
Python[265]: [-2.39350117]
Python[266]: [-3.25965563]
Python[267]: [-3.79639725]
Python[268]: [-3.27527461]
Python[269]: [-2.96562169]
Python[270]: [-2.98904572]
Python[271]: [-2.05982017]
Python[272]: [-2.77224248]
Python[273]: [-2.65123543]
Python[274]: [-2.25113682]
Python[275]: [-1.71951897]
Python[276]: [-2.41125199]
Python[277]: [-3.00960802]
Python[278]: [-2.14204384]
Python[279]: [-2.01960333]
Python[280]: [-2.20095577]
Python[281]: [-1.38743183]
Python[282]: [-1.38541014]
Python[283]: [-2.49617123]
Python[284]: [-3.877329]
Python[285]: [-4.03521188]
Python[286]: [-3.3168232]
Python[287]: [-2.92063154]
Python[288]: [-3.03102435]
Python[289]: [-3.99040971]
Python[290]: [-4.09444002]
Python[291]: [-2.97348211]
Python[292]: [-2.93011857]
Python[293]: [-2.05740766]
Python[294]: [-1.28069325]
Python[295]: [-2.01358777]
Python[296]: [-2.93045156]
Python[297]: [-2.12736167]
Python[298]: [-1.39304612]
Python[299]: [-2.99505796]
Python[300]: [-3.81432579]
Python[301]: [-3.80167927]
Python[302]: [-4.04397679]
Python[303]: [-3.59206531]
Python[304]: [-2.6076888]
Python[305]: [-3.71242503]
Python[306]: [-2.87082739]
Python[307]: [-2.89355074]
Python[308]: [-3.47252196]
Python[309]: [-3.25837246]
Python[310]: [-3.52893755]
Python[311]: [-2.8689572]
Python[312]: [-3.20185215]
Python[313]: [-4.27495165]
Python[314]: [-2.26798901]
Python[315]: [-2.12876906]
Python[316]: [-3.61885905]
Python[317]: [-4.01816112]
Python[318]: [-4.70447881]
Python[319]: [-1.89207072]
Python[320]: [-3.21646829]
Python[321]: [-3.83018436]
Python[322]: [-3.12127756]
Python[323]: [-1.90298159]
Python[324]: [-2.94015228]
Python[325]: [-2.64086996]
Python[326]: [-1.9445722]
Python[327]: [-2.01540069]
Python[328]: [-2.89507142]
Python[329]: [-1.83094981]
Python[330]: [-1.8830971]
Python[331]: [-1.71673028]
Python[332]: [-2.99780279]
Python[333]: [-3.54120866]
Python[334]: [-3.44409069]
Python[335]: [-3.27254489]
Python[336]: [-2.46746345]
Python[337]: [-2.66119524]
Python[338]: [-2.64490819]
Python[339]: [-1.09028651]
Python[340]: [-2.32128303]
Python[341]: [-3.08419525]
Python[342]: [-4.71008191]
Python[343]: [-4.64921578]
Python[344]: [-3.83948251]
Python[345]: [-4.245944]
Python[346]: [-5.27028455]
Python[347]: [-3.30467779]
Python[348]: [-1.67041614]
Python[349]: [-3.28974581]
Python[350]: [-3.04508304]
Python[351]: [-2.91481343]
Python[352]: [-2.3316584]
Python[353]: [-3.12294447]
Python[354]: [-3.65856438]
Python[355]: [-2.71104813]
Python[356]: [-1.35197156]
Python[357]: [-2.07752751]
Python[358]: [-3.14045276]
Python[359]: [-3.34268802]
Python[360]: [-2.77358831]
Python[361]: [-1.94501497]
Python[362]: [-1.69011096]
Python[363]: [-1.94386032]
Python[364]: [-2.04122982]
Python[365]: [-2.87246431]
Python[366]: [-3.63552482]
Python[367]: [-4.01019493]
Python[368]: [-3.30183838]
Python[369]: [-3.42830599]
Python[370]: [-4.0394347]
Python[371]: [-3.5508526]
Python[372]: [-2.90777417]
Python[373]: [-3.06862946]
Python[374]: [-3.64225083]
Python[375]: [-3.1104118]
Python[376]: [-2.02739601]
Python[377]: [-2.26533897]
Python[378]: [-2.1666869]
Python[379]: [-2.73221191]
Python[380]: [-2.91445424]
Python[381]: [-1.28973365]
Python[382]: [-3.01634712]
Python[383]: [-2.93295403]
Python[384]: [-3.48602105]
Python[385]: [-3.19834122]
Python[386]: [-3.79927396]
Python[387]: [-4.48693196]
Python[388]: [-3.22240019]
Python[389]: [-2.57719649]
Python[390]: [-3.07289085]
Python[391]: [-3.62837816]
Python[392]: [-3.73035105]
Python[393]: [-3.22860533]
Python[394]: [-3.35182988]
Python[395]: [-4.06754217]
Python[396]: [-2.61987852]
Python[397]: [-3.21544682]
Python[398]: [-3.40454424]
Python[399]: [-4.11071982]
Python[400]: [-3.46358134]
Python[401]: [-2.49309473]
Python[402]: [-3.26901674]
Python[403]: [-4.19027186]
Python[404]: [-3.23742205]
