Python[0]: [-2.37236257]
Python[1]: [-2.76566285]
Python[2]: [-2.70667612]
Python[3]: [-3.17823529]
Python[4]: [-4.23116863]
Python[5]: [-4.09645139]
Python[6]: [-2.47244286]
Python[7]: [-2.91692789]
Python[8]: [-2.00894905]
Python[9]: [-2.11810355]
Python[10]: [-4.16157603]
Python[11]: [-1.37053772]
Python[12]: [-1.32855404]
Python[13]: [-4.59148627]
Python[14]: [-3.41938196]
Python[15]: [-3.97528227]
Python[16]: [-4.07495508]
Python[17]: [-2.65877176]
Python[18]: [-3.10419303]
Python[19]: [-2.8849476]
Python[20]: [-3.57968457]
Python[21]: [-4.38580658]
Python[22]: [-3.25290329]
Python[23]: [-2.34763124]
Python[24]: [-1.43506281]
Python[25]: [-2.26358569]
Python[26]: [-3.21918026]
Python[27]: [-1.77450486]
Python[28]: [-2.09965949]
Python[29]: [-2.67478107]
Python[30]: [-3.5386836]
Python[31]: [-4.12245815]
Python[32]: [-3.49180412]
Python[33]: [-2.76490817]
Python[34]: [-2.76370016]
Python[35]: [-2.77286986]
Python[36]: [-3.91869936]
Python[37]: [-4.45414508]
Python[38]: [-4.72176337]
Python[39]: [-3.28349466]
Python[40]: [-4.37027052]
Python[41]: [-2.66056952]
Python[42]: [-3.43042015]
Python[43]: [-3.84176485]
Python[44]: [-1.02557184]
Python[45]: [-1.14072283]
Python[46]: [-3.04460223]
Python[47]: [-1.8358533]
Python[48]: [-2.42464155]
Python[49]: [-4.37932058]
Python[50]: [-0.86464664]
Python[51]: [-3.26968421]
Python[52]: [-3.49123218]
Python[53]: [-2.7028613]
Python[54]: [-3.5849872]
Python[55]: [-2.8830034]
Python[56]: [-3.21215285]
Python[57]: [-3.87682507]
Python[58]: [-3.50512301]
Python[59]: [-3.29038793]
Python[60]: [-2.83804369]
Python[61]: [-3.35112299]
Python[62]: [-3.85774088]
Python[63]: [-4.35717448]
Python[64]: [-3.79440897]
Python[65]: [-2.67171487]
Python[66]: [-2.4629432]
Python[67]: [-2.67499234]
Python[68]: [-2.52566857]
Python[69]: [-2.26685757]
Python[70]: [-1.6858283]
Python[71]: [-3.03733935]
Python[72]: [-3.34403577]
Python[73]: [-3.57984226]
Python[74]: [-3.45999709]
Python[75]: [-4.13967346]
Python[76]: [-3.1139692]
Python[77]: [-2.50342212]
Python[78]: [-2.18892543]
Python[79]: [-2.76669662]
Python[80]: [-3.09967792]
Python[81]: [-2.69576459]
Python[82]: [-3.75398917]
Python[83]: [-1.98904082]
Python[84]: [-3.04709059]
Python[85]: [-2.70439835]
Python[86]: [-1.99454036]
Python[87]: [-2.78183779]
Python[88]: [-1.78936859]
Python[89]: [-3.66444481]
Python[90]: [-4.30156361]
Python[91]: [-3.3217403]
Python[92]: [-3.58248308]
Python[93]: [-4.20031862]
Python[94]: [-4.78742625]
Python[95]: [-4.50187067]
Python[96]: [-3.7797596]
Python[97]: [-4.21925014]
Python[98]: [-3.99041025]
Python[99]: [-2.56709571]
Python[100]: [-2.77397784]
Python[101]: [-2.14793204]
Python[102]: [-1.16033617]
Python[103]: [-0.76112031]
Python[104]: [-1.74607428]
Python[105]: [-1.77077556]
Python[106]: [-2.96551435]
Python[107]: [-2.76608261]
Python[108]: [-3.12093623]
Python[109]: [-3.27738349]
Python[110]: [-2.58133582]
Python[111]: [-2.99438697]
Python[112]: [-2.53514202]
Python[113]: [-3.07959024]
Python[114]: [-2.61679535]
Python[115]: [-4.00713703]
Python[116]: [-3.38368295]
Python[117]: [-2.64670154]
Python[118]: [-3.12295823]
Python[119]: [-2.16618757]
Python[120]: [-3.22035281]
Python[121]: [-2.97147463]
Python[122]: [-3.0048118]
Python[123]: [-3.45615436]
Python[124]: [-2.84070575]
Python[125]: [-2.33385291]
Python[126]: [-2.87542381]
Python[127]: [-3.68727557]
Python[128]: [-4.36302732]
Python[129]: [-4.92970867]
Python[130]: [-4.45937544]
Python[131]: [-4.97510359]
Python[132]: [-2.80431817]
Python[133]: [-2.82073614]
Python[134]: [-4.53773551]
Python[135]: [-3.27747603]
Python[136]: [-2.1268771]
Python[137]: [-3.34880935]
Python[138]: [-1.43266251]
Python[139]: [-1.42603587]
Python[140]: [-2.810454]
Python[141]: [-2.47946941]
Python[142]: [-2.7269955]
Python[143]: [-2.75358377]
Python[144]: [-2.79128298]
Python[145]: [-2.51715457]
Python[146]: [-2.46984927]
Python[147]: [-2.51995964]
Python[148]: [-3.12557785]
Python[149]: [-4.8997384]
Python[150]: [-3.82821695]
Python[151]: [-2.16699469]
Python[152]: [-2.91522564]
Python[153]: [-2.75784505]
Python[154]: [-3.52778745]
Python[155]: [-2.76330644]
Python[156]: [-2.37537651]
Python[157]: [-2.41421159]
Python[158]: [-2.26399409]
Python[159]: [-1.87554061]
Python[160]: [-1.46076557]
Python[161]: [-3.22349158]
Python[162]: [-3.30130998]
Python[163]: [-3.57489864]
Python[164]: [-3.03498355]
Python[165]: [-0.88734564]
Python[166]: [-2.23061687]
Python[167]: [-3.60325874]
Python[168]: [-2.51574687]
Python[169]: [-1.70977542]
Python[170]: [-3.80796581]
Python[171]: [-2.21365474]
Python[172]: [-2.0633128]
Python[173]: [-3.38369493]
Python[174]: [-2.55042616]
Python[175]: [-1.75499406]
Python[176]: [-3.43356877]
Python[177]: [-2.06428242]
Python[178]: [-2.23026793]
Python[179]: [-2.56111666]
Python[180]: [-3.06633183]
Python[181]: [-3.61570358]
Python[182]: [-4.25438051]
Python[183]: [-3.34075056]
Python[184]: [-1.49728418]
Python[185]: [-2.16266473]
Python[186]: [-2.40958971]
Python[187]: [-2.52645259]
Python[188]: [-2.97768952]
Python[189]: [-2.9012336]
Python[190]: [-3.41449552]
Python[191]: [-2.68387243]
Python[192]: [-2.16152186]
Python[193]: [-1.50091667]
Python[194]: [-1.20234657]
Python[195]: [-2.60228479]
Python[196]: [-2.13627366]
Python[197]: [-1.860492]
Python[198]: [-1.65987614]
Python[199]: [-2.75766456]
Python[200]: [-2.47873067]
Python[201]: [-2.79419397]
Python[202]: [-2.05043097]
Python[203]: [-3.27475468]
Python[204]: [-2.36762843]
Python[205]: [-0.73348462]
Python[206]: [-1.88655669]
Python[207]: [-2.29691458]
Python[208]: [-1.84498387]
Python[209]: [-3.64739331]
Python[210]: [-2.94263437]
Python[211]: [-2.62188013]
Python[212]: [-2.75042187]
Python[213]: [-2.01619019]
Python[214]: [-2.37893912]
Python[215]: [-2.7187373]
Python[216]: [-2.84447376]
Python[217]: [-2.8938045]
Python[218]: [-2.70890339]
Python[219]: [-2.4389993]
Python[220]: [-2.53569195]
Python[221]: [-2.30309541]
Python[222]: [-2.29261662]
Python[223]: [-3.7061968]
Python[224]: [-2.68178598]
Python[225]: [-2.11548088]
Python[226]: [-2.41154401]
Python[227]: [-2.08242124]
Python[228]: [-2.4585071]
Python[229]: [-2.76039392]
Python[230]: [-2.79835249]
Python[231]: [-4.16632845]
Python[232]: [-5.5165017]
Python[233]: [-3.51515628]
Python[234]: [-3.43086542]
Python[235]: [-3.8856756]
Python[236]: [-4.59329967]
Python[237]: [-5.02818331]
Python[238]: [-3.05005032]
Python[239]: [-3.14566069]
Python[240]: [-2.56614255]
Python[241]: [-2.29130235]
Python[242]: [-2.96774199]
Python[243]: [-3.2399999]
Python[244]: [-4.73142602]
Python[245]: [-3.62169528]
Python[246]: [-3.53901361]
Python[247]: [-3.40499046]
Python[248]: [-3.33410254]
Python[249]: [-3.21334623]
Python[250]: [-2.85251276]
Python[251]: [-3.25746713]
Python[252]: [-2.99271858]
Python[253]: [-2.95447945]
Python[254]: [-2.81128817]
Python[255]: [-2.66040967]
Python[256]: [-4.21986761]
Python[257]: [-3.27739039]
Python[258]: [-2.21487078]
Python[259]: [-2.35520439]
Python[260]: [-2.44044505]
Python[261]: [-2.31881815]
Python[262]: [-2.35305436]
Python[263]: [-2.9370629]
Python[264]: [-4.11063527]
Python[265]: [-4.89349504]
Python[266]: [-4.32555759]
Python[267]: [-4.13370482]
Python[268]: [-4.79260479]
Python[269]: [-4.5131041]
Python[270]: [-4.25163658]
Python[271]: [-4.7324794]
Python[272]: [-4.36670041]
Python[273]: [-3.89035187]
Python[274]: [-4.40651996]
Python[275]: [-3.94936132]
Python[276]: [-4.48683764]
Python[277]: [-4.97350659]
Python[278]: [-4.6143659]
Python[279]: [-4.82288778]
Python[280]: [-4.5196457]
Python[281]: [-4.28439293]
Python[282]: [-3.70443146]
Python[283]: [-3.24668736]
Python[284]: [-4.33753266]
Python[285]: [-3.93768393]
Python[286]: [-3.54205443]
Python[287]: [-3.76507224]
Python[288]: [-2.92910217]
Python[289]: [-3.36115788]
Python[290]: [-4.04474156]
Python[291]: [-3.14059005]
Python[292]: [-3.21918998]
Python[293]: [-3.40379669]
Python[294]: [-3.38486663]
